EmployeeID,FirstName,LastName,Position,SupervisorID,Department,Salary,HireDate,TheftFlag,AmountStolen
1,Lori,Keith,Employee,4.0,Marketing,9560,2019-08-24,1,11994
2,Renee,Paul,Employee,104.0,Sales,7664,2020-08-05,1,8680
3,Ronald,Smith,Employee,198.0,Operations,4596,2017-09-06,0,0
4,Diana,Cole,Supervisor,,IT,8674,2016-08-16,0,0
5,Daniel,Jones,Employee,152.0,Marketing,8867,2016-06-12,1,18269
6,Vanessa,Jacobs,Employee,160.0,Operations,6199,2018-11-28,0,0
7,Michael,Hill,Employee,33.0,Finance,8478,2022-12-30,1,5188
8,Sophia,Thomas,Supervisor,,IT,6710,2015-12-26,0,0
9,Christian,Randall,Supervisor,,Operations,9977,2017-09-22,0,0
10,Tammy,Sweeney,Employee,178.0,Marketing,9891,2020-03-13,0,0
11,Jose,Lawson,Employee,156.0,Finance,9311,2017-01-06,0,0
12,Malik,Obrien,Employee,162.0,Operations,8994,2021-07-27,0,0
13,Eric,Welch,Employee,161.0,IT,6322,2022-05-20,0,0
14,Tonya,Evans,Employee,113.0,Marketing,4293,2018-01-01,0,0
15,Robert,Richards,Employee,115.0,HR,5927,2022-03-18,1,13161
16,Christine,Adams,Employee,169.0,HR,8417,2024-04-14,0,0
17,William,Mitchell,Employee,200.0,Sales,7702,2021-05-16,0,0
18,Levi,Smith,Employee,170.0,Sales,4520,2020-06-07,0,0
19,Rachel,Rodriguez,Supervisor,,Marketing,9000,2020-07-09,0,0
20,Kristi,Porter,Employee,112.0,HR,9108,2022-04-17,0,0
21,Lori,Whitehead,Employee,34.0,Operations,5260,2016-08-24,0,0
22,Robert,Ayers,Employee,192.0,Sales,5606,2019-08-02,0,0
23,Pam,Diaz,Employee,135.0,Operations,8359,2018-01-20,0,0
24,Christopher,Sanders,Employee,61.0,Operations,5525,2024-03-27,0,0
25,David,Perez,Employee,194.0,Operations,6206,2017-03-12,1,11808
26,Joseph,Cowan,Supervisor,,Marketing,9961,2015-12-25,0,0
27,Donna,Garrison,Employee,32.0,Sales,4313,2023-08-03,0,0
28,Kyle,Robinson,Employee,88.0,Sales,5441,2019-01-28,0,0
29,Michael,Brown,Supervisor,,Finance,6057,2017-09-02,0,0
30,Joy,Townsend,Employee,36.0,Marketing,8862,2020-01-17,0,0
31,Eddie,Reynolds,Employee,64.0,Sales,6409,2016-03-19,0,0
32,Ryan,Duncan,Employee,148.0,HR,9599,2015-02-17,0,0
33,Joyce,Foster,Employee,140.0,Marketing,5820,2020-02-29,1,6375
34,Jamie,Aguilar,Supervisor,,Sales,4844,2022-10-27,0,0
35,Jamie,Tran,Employee,84.0,IT,9607,2023-02-26,0,0
36,Darren,Russo,Employee,46.0,Finance,9918,2020-10-03,1,15836
37,Lisa,Clark,Supervisor,,Finance,7187,2023-05-05,0,0
38,James,Hayes,Employee,178.0,Marketing,8826,2019-03-31,0,0
39,Kyle,Garcia,Employee,95.0,Sales,8980,2022-07-08,0,0
40,Sarah,Proctor,Employee,101.0,Sales,4870,2019-06-19,0,0
41,James,Mooney,Employee,68.0,IT,9290,2020-06-02,0,0
42,Wesley,Reynolds,Supervisor,,Sales,6657,2021-10-20,0,0
43,Patricia,Chang,Employee,67.0,Marketing,9571,2018-08-07,0,0
44,Timothy,Dawson,Employee,31.0,HR,6511,2017-03-17,0,0
45,Amanda,Shepard,Supervisor,,Sales,8726,2021-02-13,0,0
46,James,Jones,Employee,13.0,Marketing,8907,2024-09-18,0,0
47,Brian,Williams,Employee,69.0,Operations,6732,2018-07-12,0,0
48,Adam,Sanders,Employee,79.0,IT,6983,2018-07-19,0,0
49,Bryan,Herrera,Employee,84.0,Finance,7716,2016-12-31,0,0
50,Lori,Humphrey,Employee,159.0,HR,9971,2020-05-06,0,0
51,Cheryl,Peters,Supervisor,,Marketing,7898,2020-08-20,0,0
52,John,Barnett,Supervisor,,IT,5950,2018-01-14,0,0
53,Jamie,Baird,Employee,159.0,Finance,4375,2024-09-02,0,0
54,Tara,Ramirez,Employee,73.0,HR,9710,2018-11-05,1,3575
55,Deborah,Patrick,Supervisor,,IT,4288,2015-06-25,0,0
56,Joseph,Todd,Employee,32.0,Marketing,9043,2024-11-14,0,0
57,James,West,Employee,155.0,Sales,7873,2023-01-03,0,0
58,Sarah,Dixon,Employee,93.0,HR,7915,2019-01-14,0,0
59,Joshua,Robinson,Employee,197.0,Sales,8315,2021-09-01,0,0
60,Jamie,Harris,Employee,199.0,HR,5121,2020-12-13,1,18265
61,Christopher,Dominguez,Employee,130.0,IT,6657,2017-02-20,1,19122
62,Mallory,Oneal,Employee,77.0,Marketing,8414,2023-04-13,0,0
63,Colleen,Thompson,Supervisor,,HR,8036,2021-05-07,0,0
64,Sue,Montgomery,Employee,162.0,Operations,9483,2020-05-07,0,0
65,Brian,Smith,Employee,183.0,Sales,7456,2016-02-11,1,10398
66,Steven,Roberts,Employee,78.0,Finance,5456,2018-04-30,0,0
67,Gregory,Brown,Supervisor,,IT,4679,2021-10-10,0,0
68,Catherine,Pugh,Employee,2.0,Finance,4208,2015-01-23,0,0
69,Theresa,Jackson,Supervisor,,IT,5277,2020-09-26,0,0
70,Jamie,White,Employee,60.0,HR,8803,2022-10-08,0,0
71,Lisa,Lopez,Employee,30.0,HR,5074,2018-04-24,0,0
72,Debra,Parsons,Employee,83.0,Finance,4567,2020-02-10,0,0
73,Tim,Smith,Employee,163.0,IT,8274,2019-08-28,0,0
74,James,Figueroa,Employee,73.0,Operations,5492,2018-06-10,0,0
75,Lee,Thompson,Employee,99.0,Sales,8299,2017-07-07,0,0
76,Kevin,Harris,Employee,177.0,Operations,8019,2015-05-04,0,0
77,Joshua,Jones,Supervisor,,HR,7465,2022-06-20,0,0
78,Richard,Page,Employee,39.0,Marketing,9893,2021-04-01,1,13542
79,Sheri,Smith,Employee,190.0,HR,7000,2022-11-02,0,0
80,Melissa,Martin,Employee,18.0,Finance,6358,2022-10-05,0,0
81,Javier,Butler,Employee,28.0,HR,9796,2024-06-30,0,0
82,Renee,Thomas,Employee,156.0,HR,4515,2021-09-11,0,0
83,Lauren,Romero,Employee,160.0,Operations,4058,2016-12-18,0,0
84,Jesse,Andrews,Employee,63.0,Marketing,4066,2016-07-01,1,17025
85,Ashley,Harrington,Employee,142.0,Marketing,5311,2017-03-16,0,0
86,Jodi,Wolf,Employee,121.0,IT,8362,2016-10-11,0,0
87,Kevin,Kim,Employee,46.0,Operations,4713,2017-05-16,0,0
88,Nathan,Lewis,Employee,67.0,Finance,7932,2022-12-21,0,0
89,David,Moses,Employee,124.0,Finance,8604,2015-07-20,0,0
90,John,Anderson,Employee,37.0,HR,8679,2017-09-24,1,10663
91,Lauren,Allen,Employee,98.0,Sales,9486,2018-04-18,0,0
92,Angela,Cruz,Supervisor,,Sales,5975,2022-01-17,0,0
93,Matthew,Jacobs,Employee,31.0,Sales,5488,2017-08-25,0,0
94,Beth,Mccormick,Employee,56.0,HR,4518,2023-04-11,0,0
95,Caitlyn,Ho,Employee,145.0,Operations,9966,2017-01-24,0,0
96,Kenneth,Rice,Employee,45.0,HR,4239,2024-02-04,0,0
97,Sarah,Smith,Employee,106.0,Sales,9036,2015-10-07,0,0
98,Amanda,Lewis,Supervisor,,IT,7498,2024-02-14,0,0
99,Chris,Davis,Employee,61.0,Sales,4617,2023-07-24,0,0
100,Raymond,Blackburn,Employee,168.0,HR,5937,2021-05-25,1,10652
101,Danielle,Carpenter,Employee,53.0,HR,8731,2024-08-22,1,17700
